Filtering questions containing the word 'disease'
Total rows kept: 2014

Total unique crop-disease pairs: 1167

===== CROP | DISEASE | COUNT =====
Broccoli | Small angular lesions that enlarge into orange or yellow necrotic patches. | 1
Broccoli | Small dark spots on leaves that turn brown to gray. | 1
Broccoli | Small purple spots with water-soaked borders that turn brown. | 1
Broccoli | Splashing water and insect movement. | 1
Broccoli | Use only clean seed with no disease | 1
Broccoli | Warm and rainy weather | 1
Broccoli | Warm, rainy weather. | 1
Broccoli | Wirestem | 1
Butternut | Bunch disease | 1
Cabbage | Alternaria leaf spot | 3
Cabbage | Bacterial leaf spot | 3
Cabbage | Bacterial soft rot | 3
Cabbage | Basal rot | 2
Cabbage | Black rot | 3
Cabbage | Clubroot | 2
Cabbage | Contaminated soil or irrigation water | 1
Cabbage | Cool and wet weather | 1
Cabbage | Cool, wet periods. | 1
Cabbage | Damping-off | 1
Cabbage | Downy mildew | 2
Cabbage | Leaves stems and petioles | 1
Cabbage | Leaves, stems, and petioles. | 1
Cabbage | Movement of contaminated soil and irrigation water. | 1
Cabbage | Plant only certified seed and avoid field-grown transplants. | 1
Cabbage | Plant only pathogen-free seed. | 1
Cabbage | Roots swell and form distorted galls | 1
Cabbage | Small dark spots on leaves that turn brown to gray. | 1
Cabbage | Swollen, distorted roots with extensive gall formation. | 1
Cabbage | Use only certified seed and avoid field transplants | 1
Cabbage | Use only clean seed with no pathogens | 1
Cactus | Bacterial soft rot | 3
Cactus | Witches'-broom | 1
Campanula | Bacterial fasciation | 1
Cantaloupe | Alternaria leaf blight | 3
Cantaloupe | Angular leaf spot | 2
Cantaloupe | Anthracnose | 3
Cantaloupe | Bacterial fruit blotch | 3
Cantaloupe | Bacterial wilt | 3
Cantaloupe | Brown or tan circles form on leaves with gummy spots on stems | 1
Cantaloupe | Cercospora leaf spot | 3
Cantaloupe | Charcoal rot | 3
Cantaloupe | Circular brown or tan spots on leaves and gummy lesions on stems. | 1
Cantaloupe | Cucumber mosaic | 3
Cantaloupe | Cucurbit yellow stunting disorder virus | 1
Cantaloupe | Cuts down leftover fungus that could infect again | 1
Cantaloupe | Downy mildew | 3
Cantaloupe | Gummy stem blight | 3
Cantaloupe | High heat combined with frequent rain | 1
Cantaloupe | High temperatures and frequent rainfall. | 1
Cantaloupe | Infected crop debris left in the field. | 1
Cantaloupe | Lesions on fruit and leaves that may develop salmon pink spore masses. | 1
Cantaloupe | Lowers the amount of fungus that could cause reinfection | 1
Cantaloupe | Monosporascus vine decline | 3
Cantaloupe | Old plant debris left behind after harvest | 1
Cantaloupe | Planting seeds that carry infection | 1
Cantaloupe | Powdery mildew | 3
Cantaloupe | Remove and destroy diseased plants to prevent further spread. | 1
Cantaloupe | Remove sick plants to stop the disease from spreading | 1
Cantaloupe | Rotate crops to a non-host for 2-3 years. | 1
Cantaloupe | Rotate cucurbits with a different crop every two years | 1
Cantaloupe | Rotate with non-host crops for two to three years | 1
Cantaloupe | Rotating cucurbits with another crop every 2 years. | 1
Cantaloupe | Small spots with light to tan brown centers that enlarge over time. | 1
Cantaloupe | Small yellow-brown spots with a halo on older leaves | 1
Cantaloupe | Southern blight | 3
Cantaloupe | Spores carried by wind or splashing water | 1
Cantaloupe | Spots form with pale brown centers that grow larger | 1
Cantaloupe | Spots with salmon pink spores on fruit and leaves | 1
Cantaloupe | Squash mosaic | 1
Cantaloupe | Start with clean seed and treat it before planting | 1
Cantaloupe | To prevent introducing the pathogen into new fields. | 1
Cantaloupe | To reduce fungal inoculum that can cause reinfection. | 2
Cantaloupe | Use disease-free seed and treat seeds before planting. | 1
Cantaloupe | Use of infected seeds. | 1
Cantaloupe | Water-soaked lesions on the stem at the soil line. | 1
Cantaloupe | Wet conditions | 2
Cantaloupe | Wet conditions. | 2
Cantaloupe | Wet-looking spots appear on the stem near the soil | 1
Cantaloupe | Wind and water splash. | 1
Cantaloupe | Yellow-brown spots with a halo form on older leaves | 1
Carrot | Alternaria leaf blight | 1
Carrot | Applying fungicides when the first symptoms appear. | 1
Carrot | Bacterial gall | 2
Carrot | Bacterial leaf blight | 3
Carrot | Bacterial soft rot | 1
Carrot | Carrot yellows | 2
Carrot | Cercospora leaf blight | 1
Carrot | Cottony rot | 2
Carrot | Green-brown water-soaked lesions that turn dark brown or black. | 1
Carrot | Grow carrots in well-drained soil and rinse in bleach before storage. | 1
Carrot | It can be equally destructive. | 1
Carrot | Poorly drained soil and humid conditions. | 1
Carrot | Soft, watery decay affecting carrots in the field and storage. | 1
Carrot | Using disease-free seeds and managing plant residues. | 1
Carrot | Wet foliage and warm weather. | 1
Carrot | Younger leaves are more susceptible than older leaves. | 1
Cassava | Anthracnose | 2
Cassava | Avoid planting cuttings with cankers and remove infected debris. | 1
Cassava | Bacterial blight | 3
Cassava | Bacterial leaf spot | 3
Cassava | Brown Streak | 3
Cassava | Cankers on stems and petioles with drooping leaves. | 1
Cassava | Do not plant cuttings with sores and remove sick plant parts | 1
Cassava | Excessive proliferation of branches with small leaves. | 1
Cassava | Fungus spores carried by wind during rainy times | 1
Cassava | Infected cuttings used for propagation. | 1
Cassava | Mosaic Disease | 3
Cassava | Remove and destroy suspected infected plants. | 1
Cassava | Root rot | 3
Cassava | Stems and leaf stalks get sores and the leaves hang down | 1
Cassava | Take out and burn plants that might be sick | 1
Cassava | Too many branches grow with small leaves | 1
Cassava | Using sick cuttings to grow new plants | 1
Cassava | Windborne spores during the wet season. | 1
Cassava | Witches' broom | 3
Casuarina | Slime flux | 1
Cauliflower | Bacterial leaf spot | 2
Cauliflower | Bacterial soft rot | 1
Cauliflower | Black rot | 1
Cauliflower | Sclerotinia stem rot | 1
Celery | Bacterial blight | 3
Celery | Bacterial leaf spot | 2
Celery | Cercospora leaf spot | 3
Celery | Septoria blight | 3
Chard | Bacterial leaf spot of chard | 2
Cherry | Bacterial canker | 3
Cherry | Bacterial gall | 1
Cherry | Black knot | 3
Cherry | Brown rot | 1
Cherry | Crown gall | 1
Cherry | Leaf spot | 2
Cherry | Rasp leaf | 1
Cherry | Verticillium wilt | 1
Cherry | X-disease | 3
Cherry laurel | Bacterial leaf spot | 1
Chickpea | Ascochyta blight | 3
Chickpea | Sclerotinia stem rot | 1
Chilli Pepper | Bacterial spot | 3
Chilli Pepper | Damping-off | 1
Chilli Pepper | Mosaic | 2
Chilli Pepper | Phytophthora blight | 3
Chilli Pepper | Powdery mildew | 1
Chilli Pepper | Southern blight | 3
Chinese cabbage | Alternaria leaf spot | 2
Chinese cabbage | Clubroot | 1
Chinese cabbage | Downy mildew | 1
Chokecherry | X-disease | 3
Cilantro | Bacterial leaf spot | 1
Citron melon | Bacterial fruit blotch | 2
Clove | Sumatra disease | 1
Clover | Bacterial black leaf spot | 2
Clover | Bacterial fasciation | 1
Clover | Bacterial leaf spot | 2
Clover | Rugose leaf curl | 1
Cocoa | Black pod | 3
Cocoa | Cocoa swollen shoot | 3
Cocoa | Frosty pod | 3
Coconut | Bud rot and nutfall | 1
Coconut | Cadang-cadang | 1
Coconut | Ganoderma butt rot | 3
Coconut | Gray leaf blight | 2
Coconut | Lethal yellowing | 3
Coconut | Stem bleeding disease | 3
Cocoyam | Alomae-bobone | 3
Cocoyam | Dasheen mosaic | 3
Cocoyam | Phytophthora leaf blight | 3
Coffee | Cercospora leaf spot | 3
Coffee | Coffee berry disease | 1
Coffee | Copper fungicides. | 1
Coffee | Copper spray for disease control | 1
Coffee | Ensure the crop is adequately fertilized to strengthen plants. | 1
Coffee | Give the plants the right amount of nutrients to keep them strong | 1
Coffee | Halo blight | 3
Coffee | It helps air move around the leaves | 1
Coffee | It promotes good air circulation around the foliage. | 1
Coffee | Leaf rust | 3
Coffee | Leaf scorch | 1
Coffee | Remove it from the field to prevent inoculum build-up. | 1
Coffee | Take it out of the field to stop the disease from building up | 1
Collard | Bacterial leaf spot | 1
Collard greens | Downy mildew | 2
Coriander | Bacterial leaf spot | 1
Cotton | Angular leaf spot | 3
Cotton | Asochyta blight | 3
Cotton | Boll rot | 2
Cotton | Fusarium wilt | 3
Cotton | Target spot | 3
Cowpea | Bacterial leaf spot | 2
Crabapple | Fire blight | 1
Cucumber | Angular leaf spot | 3
Cucumber | Anthracnose | 3
Cucumber | Bacterial wilt | 3
Cucumber | Belly rot | 3
Cucumber | By spores carried through the air by wind | 1
Cucumber | Cool weather combined with high moisture levels. | 1
Cucumber | Cucumber mosaic | 3
Cucumber | Downy mildew | 3
Cucumber | Gummy stem blight | 3
Cucumber | It causes leaves to wither and can lead to premature plant death. | 1
Cucumber | It leads to leaf withering and may result in early plant death. | 1
Cucumber | Low temperatures and high humidity. | 1
Cucumber | Older leaves | 1
Cucumber | Phytophthora blight | 3
Cucumber | Powdery mildew | 3
Cucumber | Pythium fruit rot | 3
Cucumber | Scab | 3
Cucumber | Septoria leaf spot | 2
Cucumber | Spread by wind-borne spores | 1
Cucumber | Target leaf spot | 3
Cucumber | Varied temperatures ranging from dry to humid environments | 1
Cucumber | Water mold pathogen | 1
Cucumber | Water mold species | 1
Cucumber | White powdery growth on leaves and stems | 1
Cucumber | Whitish powder forming on leaves and stems | 1
Cucumber | Wide temperature range with dry to moist conditions | 1
Custard apple | Bacterial wilt | 3
Dates | Bayoud disease | 1
Dates | Graphiola leaf spot | 1
Dill | Cercospora leaf blight | 2
Eggplant | Bacterial wilt | 1
Eggplant | Cercospora leaf spot | 3
Eggplant | Phomopsis fruit rot | 3
Eggplant | Phytophthora blight | 1
Elderberry | Bacterial leaf spot | 1
Fennel | Bacterial rot | 1
Fig | Mosaic | 3
Garlic | Move soil or plant material between sites to replace existing soil | 1
Garlic | Rust | 2
Garlic | White rot | 2
Gayfeather | Phytoplasma disease | 1
Ginger | Bacterial wilt | 3
Gourd | Downy mildew | 1
Gourd | Scab | 1
Grape | Anthracnose | 3
Grape | Bacterial blight | 3
Grape | Black rot | 2
Grape | Bois noir disease | 3
Grape | Botrytis bunch rot | 2
Grape | Brown lesions on the stem early in the season. | 1
Grape | Brown marks on the stem early in the season | 1
Grape | Crown gall | 3
Grape | Dark lesions on canes and leaves. | 2
Grape | Fungicides made from nitrogen | 1
Grape | High moisture levels and high temperatures. | 1
Grape | Hot and wet weather | 1
Grape | Leaf spot | 3
Grape | Mild temperatures and high humidity. | 1
Grape | Nitrogen-based fungicides. | 1
Grape | Pierce's disease | 3
Grape | Powdery mildew | 3
Grape | Prune out dead and infected wood and plow under soil. | 1
Grape | Rain directly following budbreak. | 1
Grape | Rain soon after budbreak | 1
Grape | Red marks on stems and yellow spots on leaves | 1
Grape | Red patches on canes and yellow patches on leaves. | 1
Grape | Remove and destroy dead or infected wood and plow soil after pruning | 1
Grape | Warm air and wet air together | 1
Grapefruit | Anthracnose | 2
Grapefruit | Applying systemic insecticides. | 1
Grapefruit | Australian citrus dieback | 2
Grapefruit | Citrus canker | 2
Grapefruit | Completely remove infected trees to halt further infection. | 2
Grapefruit | Huanglongbing | 1
Grapefruit | Tristeza disease | 2
Guava | Anthracnose | 2
Guava | Applying appropriate fungicides. | 1
Guava | Good sanitation, fertilization, irrigation, and pruning. | 1
Guava | Maintain clean conditions with proper pruning, feeding, and watering. | 1
Guava | Rust | 3
Guava | Use fungicides suited for controlling the disease. | 1
Guava | Warm days with high humidity. | 1
Guava | Warm temperatures and high humidity. | 1
Gypsophila | Bacterial blight | 1
Gypsophila | Gypsophila gall | 3
Hawthorn | Fire blight | 1
Hazelnut | Bacterial blight | 1
Hazelnut | Bacterial canker | 1
Hibiscus | Bacterial leaf spot | 1
Horseradish | Brittle root | 3
Hydrangea | Bacterial leaf spot | 1
Kalanchoe | Aster yellows | 1
Kale | Alternaria leaf spot | 3
Kale | Black rot | 2
Kale | Damping-off | 2
Kale | Downy mildew | 3
Kiwi | Bacterial canker | 3
Kiwi | Crown gall | 1
Kiwi | Reduced plant vigor and small leaves. | 1
Koa | Foamy canker | 2
Konjac | Bacterial leaf blight | 1
Kudzu | Bacterial leaf spot | 1
Lavender | Bacterial leaf spot | 1
Lemon | Anthracnose | 2
Lemon | Armillaria root rot | 1
Lemon | Bacterial blast and black pit | 1
Lemon | Citrus canker | 3
Lemon | Huanglongbing | 3
Lemon | Mal secco | 3
Lemon | The entire surface of the tree. | 1
Lemon | The whole tree. | 1
Lemon grass | Light yellow spots on foliage and brown streaks on leaves. | 1
Lemon grass | Prune out diseased parts of the plant to allow regrowth. | 1
Lemon grass | Remove infected parts to promote healthy regrowth. | 1
Lemon grass | Rust | 3
Lemon grass | Wind, rain, and water splash. | 1
Lemon grass | Wind, rain, and watersplash. | 1
Lemon grass | Yellow spots on leaves and brown streaks. | 1
Lentil | Ascochyta blight | 2
Lentil | If it stays wet after the first spray | 1
Lentil | If wet weather persists after the first application. | 1
Lethal yellowing | scorch | 1
Lettuce | Bacterial leaf spot | 1
Lettuce | Big vein | 2
Lettuce | Corky root | 3
Lettuce | Head rot | 3
Lettuce | In the morning or early in the day. | 1
Lettuce | Leaf drop | 2
Lettuce | Marginal leaf blight | 1
Lettuce | Powdery mildew | 2
Lettuce | Varnish spot | 2
Lime | Anthracnose | 1
Lime | Armillaria root rot | 2
Lime | Australian citrus dieback | 1
Lime | Bacterial blast and black pit | 1
Lime | Citrus canker | 2
Lime | Huanglongbing | 3
Lime | Melanose | 2
Lime | Tristeza virus | 2
Lime | Witches'-broom | 1
Loquat | Bacterial canker | 1
Loquat | Fire blight | 3
Macadamia | Create small cuts on trunks to encourage vigorous growth. | 1
Macadamia | Slow and quick tree decline | 1
Magnolia | Bacterial leaf spot | 2
Maize | Anthracnose | 3
Maize | Bacterial Leaf Streak disease | 2
Maize | Bacterial leaf blight and stalk rot | 3
Maize | Bacterial stalk and top rot | 3
Maize | Bacterial stripe | 3
Maize | Cercospora leaf spot | 3
Maize | Changing crops to small grains in rotation. | 1
Maize | Charcoal rot | 3
Maize | Chocolate spot | 1
Maize | Choose crop varieties that are resistant to the disease. | 1
Maize | Common rust | 3
Maize | Common smut | 3
Maize | Continuous corn planting with optimized cultivation practices. | 1
Maize | Corn stunt | 1
Maize | Ear rot | 1
Maize | Giberrella stalk and ear rot | 3
Maize | Goss's bacterial blight | 3
Maize | Goss's bacterial wilt | 1
Maize | Growing the same crop every year with minimal disturbance. | 1
Maize | High temperatures and cloudy weather. | 1
Maize | Holcus spot | 1
Maize | Leaves develop oval or long cinnamon-colored pustules. | 1
Maize | Long stretches of foggy or overcast weather. | 1
Maize | Maize Lethal Necrosis Disease | 3
Maize | Maize bushy stunt | 2
Maize | Maize dwarf mosaic | 3
Maize | Northern Leaf Blight | 3
Maize | Oval or elongated cinnamon brown pustules on leaves. | 1
Maize | Plant corn hybrids with resistance to the disease. | 1
Maize | Prolonged periods of foggy or cloudy weather. | 1
Maize | Pythium root rot | 1
Maize | Rotating crops with small grains. | 1
Maize | Shredded plant stalks with rotted pith. | 1
Maize | Southern corn leaf blight | 3
Maize | Spores carried by the wind. | 1
Maize | Stalks appear shredded and the inner tissue is decayed. | 1
Maize | Stewart's wilt | 3
Maize | Warm and humid days with little sunlight. | 1
Maize | Warm soil with little available moisture. | 1
Maize | Warm soils with low moisture content. | 1
Maize | Wind-borne spores. | 1
Maize | soft rot | 3
Maize | stripe | 3
Mallotus | Bacterial brown spot | 2
Mallotus | Bacterial leaf spot | 2
Mandarin orange | Citrus greening | 1
Mandarin oranges | Citrus canker | 1
Mango | Algal leaf spot | 2
Mango | Anthracnose | 3
Mango | Apply only if the infection weakens the tree | 1
Mango | Bacterial black spot | 3
Mango | It is mostly cosmetic and rarely affects yield. | 2
Mango | Only when severe infestations affect tree vigor. | 1
Mango | Powdery mildew | 3
Mango | Sooty mold | 3
Millet | Bacterial leaf stripe | 3
Mulberry | Bacterial blight | 3
Mulberry | Mulberry dwarf disease | 1
Mume | Bacterial canker | 1
